beat_index,time_sec,confidence
433,162.969252,1.0
434,163.352381,1.0
435,163.723900,1.0
436,164.095420,1.0
437,164.466939,1.0
438,164.850068,1.0
439,165.221587,1.0
440,165.593107,1.0
441,165.964626,1.0
442,166.347755,1.0
443,166.730884,1.0
444,167.102404,1.0
445,167.485533,1.0
446,167.857052,1.0
447,168.240181,1.0
448,168.611701,1.0
449,168.983220,1.0
450,169.354739,1.0
451,169.737868,1.0
452,170.109388,1.0
453,170.480907,1.0
454,170.864036,1.0
455,171.235556,1.0
456,171.607075,1.0
457,171.990204,1.0
458,172.361723,1.0
459,172.733243,1.0
460,173.116372,1.0
461,173.487891,1.0
462,173.859410,1.0
463,174.230930,1.0
464,174.602449,1.0
465,174.973968,1.0
466,175.357098,1.0
467,175.740227,1.0
468,176.111746,1.0
469,176.483265,1.0
470,176.854785,1.0
471,177.237914,1.0
472,177.609433,1.0
473,177.980952,1.0
474,178.364082,1.0
475,178.747211,1.0
476,179.130340,1.0
477,179.501859,1.0
478,179.873379,1.0
479,180.244898,1.0
480,180.616417,1.0
481,180.987937,1.0
482,181.359456,1.0
483,181.742585,1.0
484,182.114104,1.0
485,182.485624,1.0
486,182.845533,1.0
487,183.205442,1.0
488,183.565351,1.0
489,183.971701,1.0
490,184.354830,1.0
491,184.726349,1.0
492,185.074649,1.0
493,185.422948,1.0
494,185.771247,1.0
495,186.131156,1.0
496,186.502676,1.0
497,186.897415,1.0
498,187.292154,1.0
499,187.698503,1.0
500,188.093243,1.0
501,188.511202,1.0
502,188.871111,1.0
503,189.277460,1.0
504,189.637370,1.0
505,190.008889,1.0
506,190.357188,1.0
507,190.670658,1.0
508,191.123447,1.0
509,191.529796,1.0
510,191.889705,1.0
511,192.272834,1.0
512,192.621134,1.0
513,192.992653,1.0
514,193.375782,1.0
515,193.770522,1.0
516,194.142041,1.0
517,194.525170,1.0
518,194.873469,1.0
519,195.256599,1.0
520,195.709388,1.0
521,196.104127,1.0
522,196.405986,1.0
523,196.742676,1.0
524,197.137415,1.0
525,197.508934,1.0
526,197.892063,1.0
527,198.275193,1.0
528,198.635102,1.0
529,198.983401,1.0
530,199.343311,1.0
531,199.691610,1.0
532,200.051519,1.0
533,200.411429,1.0
534,200.759728,1.0
535,201.108027,1.0
536,201.456327,1.0
537,201.827846,1.0
538,202.199365,1.0
539,202.570884,1.0
540,202.942404,1.0
541,203.244263,1.0
542,203.592562,1.0
543,203.940862,1.0
544,204.289161,1.0
545,204.660680,1.0
546,205.032200,1.0
547,205.403719,1.0
548,205.775238,1.0
549,206.135147,1.0
550,206.483447,1.0
551,206.866576,1.0
552,207.238095,1.0
553,207.621224,1.0
554,207.992744,1.0
555,208.364263,1.0
556,208.747392,1.0
557,209.118912,1.0
558,209.490431,1.0
559,209.861950,1.0
560,210.245079,1.0
561,210.616599,1.0
562,210.988118,1.0
563,211.371247,1.0
564,211.742766,1.0
565,212.114286,1.0
566,212.497415,1.0
567,212.868934,1.0
568,213.240454,1.0
569,213.611973,1.0
570,213.995102,1.0
571,214.366621,1.0
572,214.738141,1.0
573,215.121270,1.0
574,215.492789,1.0
575,215.864308,1.0
576,216.247438,1.0
577,216.618957,1.0
578,216.990476,1.0
579,217.373605,1.0
580,217.745125,1.0
581,218.116644,1.0
582,218.488163,1.0
583,218.871293,1.0
584,219.242812,1.0
585,219.614331,1.0
586,219.997460,1.0
587,220.368980,1.0
588,220.740499,1.0
589,221.123628,1.0
590,221.495147,1.0
591,221.878277,1.0
592,222.249796,1.0
593,222.632925,1.0
594,223.016054,1.0
595,223.364354,1.0
