time_sec,chord_symbol,confidence
73.026757,Dm,0.143296
73.084807,D,0.150927
73.096417,Bm,0.151821
73.108027,Dm,0.150783
73.119637,D,0.153976
73.131247,G,0.156942
73.166077,D,0.157188
73.177687,Gm,0.158844
73.189297,D,0.155042
73.200907,Bm,0.163653
73.212517,G,0.172649
73.305397,D,0.165668
73.363447,Gm,0.156257
73.398277,D,0.152057
73.618866,Gm,0.102444
73.665306,C#,0.099065
73.723356,G,0.095704
73.816236,C,0.098352
73.862676,Fm,0.106668
73.920726,Am,0.109212
74.001995,Fm,0.120679
74.013605,C,0.123932
74.152925,Em,0.133799
74.164535,C,0.134675
74.269025,Am,0.150495
74.419955,C,0.168423
74.756644,G,0.125616
74.861134,D,0.118498
74.988844,Gm,0.153520
75.012063,G,0.153863
75.151383,Bm,0.174135
75.162993,D,0.176576
75.801542,Gm,0.127331
75.940862,C#m,0.096338
76.173061,E,0.124154
76.196281,Em,0.118364
76.300771,E,0.131514
76.347211,A,0.141958
76.463311,E,0.157512
76.509751,Em,0.159743
76.683900,E,0.170322
76.718730,A,0.165249
76.741950,Am,0.166218
76.765170,E,0.169569
76.811610,Em,0.187446
76.846440,E,0.189022
76.927710,Em,0.157635
77.078639,G,0.104157
77.090249,Dm,0.107226
77.125079,D,0.126702
77.635918,G,0.202668
77.647528,D,0.206573
78.019048,Dm,0.150845
78.042268,D,0.139459
78.169977,Dm,0.108741
78.239637,C#m,0.099928
78.262857,A,0.098204
78.274467,Dm,0.097330
78.286077,A,0.097412
78.378957,Am,0.111587
78.390567,A,0.112827
79.098776,D,0.158623
79.121995,Dm,0.176667
79.133605,D,0.179874
79.342585,A,0.108012
79.354195,Em,0.112729
79.389025,E,0.127445
79.435465,Em,0.124621
79.458685,E,0.128730
79.551565,B,0.141381
79.609615,E,0.157557
79.621224,Em,0.161614
79.690884,B,0.150739
79.714104,E,0.142329
79.760544,B,0.143956
79.772154,Bm,0.148227
79.783764,B,0.151889
80.085624,Em,0.126385
80.143673,E,0.133053
80.271383,B,0.118550
80.375873,G#m,0.112466
80.410703,E,0.106441
80.433923,Em,0.103633
80.573243,Cm,0.102874
80.584853,C,0.104852
80.689342,Cm,0.129773
80.712562,C,0.132483
81.351111,Cm,0.138206
81.432381,C,0.134603
81.502041,Cm,0.127514
81.560091,C,0.116566
81.699410,E,0.113777
81.989660,B,0.119714
82.012880,E,0.118724
82.047710,B,0.112482
82.198639,Bm,0.182135
82.349569,B,0.173442
82.407619,Bm,0.203808
82.744308,G,0.130158
82.872018,C,0.149732
83.069388,G,0.179748
83.080998,C,0.187708
83.104218,G,0.189036
83.115828,Cm,0.195613
83.127438,C,0.196255
83.197098,G,0.169988
83.243537,C,0.159101
83.255147,Cm,0.160570
83.278367,G,0.178531
83.324807,C,0.177179
83.371247,G,0.203435
84.253605,D,0.145504
84.276825,G,0.151133
84.509025,Gm,0.190273
84.520635,G,0.184561
84.543855,Gm,0.174018
84.555465,G,0.178394
